learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
390000.0,23.6875,2.2879368205192602E-5,390000.0,84.0,1.9451628323139774,38.22393822393821,-1.9108280254777084,390000.0,7201824.0,455.0,228.0,228.0,61.0,0.0,0.0,1.0
400000.0,24.5625,2.4572254721230516E-5,400000.0,84.1,0.27596588058203453,38.84615384615383,-1.9230769230769247,400000.0,7478632.0,463.0,232.0,232.0,63.0,0.0,0.0,1.0
410000.0,25.453125,2.6366537106999506E-5,410000.0,83.8,4.0056885517895795,41.30434782608695,0.0,410000.0,7787504.0,475.0,238.0,238.0,64.0,0.0,0.0,1.0
420000.0,26.375,2.828925841539684E-5,420000.0,85.39999999999999,0.6410692654244521,38.13559322033897,-5.035971223021587,420000.0,8062072.0,487.0,244.0,244.0,67.0,0.0,0.0,1.0
430000.0,27.359375,3.0416966991550806E-5,430000.0,83.1,9.75307587149695,38.32116788321167,-3.680981595092027,430000.0,8355144.0,499.0,250.0,250.0,69.0,0.0,0.0,1.0
440000.0,28.40625,3.2751879738902466E-5,440000.0,85.0,0.1650604334167682,38.77551020408162,-2.7397260273972623,440000.0,8621408.0,511.0,256.0,256.0,71.0,0.0,0.0,1.0
450000.0,29.421875,3.5086243329310994E-5,450000.0,85.5,16.90544412607454,42.460317460317455,3.333333333333336,450000.0,8884592.0,519.0,260.0,260.0,71.0,0.0,0.0,1.0
460000.0,30.328125,3.721147824156408E-5,460000.0,82.3,2.83694172412282,39.99999999999999,0.0,460000.0,9064864.0,529.0,265.0,265.0,73.0,0.0,0.0,1.0
470000.0,31.296875,3.9613876239551846E-5,470000.0,81.69999999999999,4.292707418099657,38.38383838383837,-1.1049723756906085,470000.0,9585960.0,535.0,268.0,268.0,73.0,0.0,0.0,1.0
480000.0,32.59375,3.9701447757478384E-5,480000.0,82.89999999999999,-0.3968906319719466,39.36170212765956,-1.1834319526627228,480000.0,261016.0,547.0,274.0,274.0,4.0,0.0,0.0,1.0
490000.0,32.921875,3.975517798810162E-5,490000.0,81.8,0.3067484662576107,38.09523809523809,-1.1111111111111118,490000.0,632968.0,561.0,281.0,281.0,11.0,0.0,0.0,1.0
500000.0,33.3125,3.984808064867845E-5,500000.0,84.1,1.4991946475034612,40.892193308550176,-0.6329113924050637,500000.0,919328.0,571.0,286.0,286.0,16.0,0.0,0.0,1.0
510000.0,33.71875,3.9973548167229936E-5,510000.0,83.2,3.2447562113410497,42.46575342465753,0.5917159763313614,510000.0,1193824.0,585.0,293.0,293.0,22.0,0.0,0.0,1.0
520000.0,34.265625,4.020289362718661E-5,520000.0,82.89999999999999,5.799656251377245,40.418118466898946,0.0,520000.0,1621080.0,599.0,300.0,300.0,27.0,0.0,0.0,1.0
530000.0,34.828125,4.048626831111808E-5,530000.0,83.2,14.237582316606243,41.666666666666664,2.890173410404626,530000.0,1947336.0,609.0,305.0,305.0,31.0,0.0,0.0,1.0
